title,url,published,description
Proposal to simplify the information requirements for advertising of medicinal products to prescribers and suppliers of medicines (MLX384),https://www.gov.uk/government/consultations/proposal-to-simplify-the-information-requirements-for-advertising-of-medicinal-products-to-prescribers-and-suppliers-of-medicines-mlx384,2014-10-01,MHRA is asking for feedback on a proposal to simplify the information requirements for advertisements aimed at prescribers and suppliers of medicines.  
First-ever MHRA analysis of UK clinical trial applications finds new opportunities to drive medical breakthroughs for patients,https://www.gov.uk/government/news/first-ever-mhra-analysis-of-uk-clinical-trial-applications-finds-new-opportunities-to-drive-medical-breakthroughs-for-patients,2025-04-10,New analysis of the current clinical trial landscape in the UK shows clear opportunities to shape the future of medical research and patient care.
Chloramphenicol eye drops containing borax and boric acid buffers: review of the use in children under 2 years,https://www.gov.uk/government/publications/chloramphenicol-eye-drops-containing-borax-and-boric-acid-buffers-review-of-the-use-in-children-under-2-years,2022-01-19,Public Assessment Report of our review of the use of chloramphenicol eye drops containing borax and boric acid buffers in children under 2 years.
50th Promising Innovative Medicine (PIM) designation granted,https://www.gov.uk/government/news/mhra-grants-50th-promising-innovative-medicine-pim-designation,2018-02-02,"As part of the Early Access to Medicines Scheme (EAMS), we have now reached a new PIM designation milestone."
Coronavirus: new website for reporting medicines side effects and equipment incidents,https://www.gov.uk/government/news/coronavirus-new-website-for-reporting-medicines-side-effects-and-equipment-incidents,2020-05-04,"A new online reporting site, dedicated to reporting any suspected side effects from medicines, future vaccines and incidents involving medical equipment relating to COVID-19 treatment, has today been launched.  "
Classification of Ibuprofen Seven Plus 200mg/5ml Oral Suspension,https://www.gov.uk/government/consultations/classification-of-ibuprofen-seven-plus-200mg5ml-oral-suspension,2016-03-15,MHRA is asking for feedback on proposals to change the legal classification of Ibuprofen Seven Plus 200mg/5ml Oral Suspension
"Isotretinoin (Roaccutane▼): introduction of new safety measures, including additional oversight of the initiation of treatment for patients under 18 years of age",https://www.gov.uk/drug-safety-update/isotretinoin-roaccutanev-introduction-of-new-safety-measures-including-additional-oversight-of-the-initiation-of-treatment-for-patients-under-18-years-of-age,2023-10-31,We have strengthened the safe use of isotretinoin through the introduction of additional oversight of the initiation of isotretinoin in patients under 18 years and through improved assessment and monitoring of mental health and sexual function issues. We ask healthcare professionals to review these new measures and supporting materials and integrate them into their clinical practice when referring patients and when prescribing or dispensing isotretinoin. 
"Valproate (Belvo, Convulex, Depakote, Dyzantil, Epilim, Epilim Chrono or Chronosphere, Episenta, Epival, and Syonell▼): new safety and educational materials to support regulatory measures in men and women under 55 years of age",https://www.gov.uk/drug-safety-update/valproate-belvo-convulex-depakote-dyzantil-epilim-epilim-chrono-or-chronosphere-episenta-epival-and-syonellv-new-safety-and-educational-materials-to-support-regulatory-measures-in-men-and-women-under-55-years-of-age,2024-01-22,"New safety and educational materials have been introduced for men and women and healthcare professionals to reduce the harms from valproate, including the significant risk of serious harm to the baby if taken during pregnancy and the risk of impaired fertility in males. "
Freedom of Information responses from the MHRA - week commencing 26 September 2022,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-26-september-2022,2024-01-17,The Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 26 September 2022.
Regulation 251 of the Human Medicines Regulations 2020,https://www.gov.uk/government/publications/regulation-251-of-the-human-medicines-regulations-2020,2021-03-30,Confirmation of the regulation 251 of the Human Medicines Regulation following the Brexit transition.
"Valproate (Epilim▼, Depakote▼) pregnancy prevention programme: updated educational materials",https://www.gov.uk/drug-safety-update/valproate-epilim-depakote-pregnancy-prevention-programme-updated-educational-materials,2020-02-12,"In January 2020, healthcare professionals received updated educational materials to support the valproate pregnancy prevention programme. Valproate is contraindicated in girls and women of childbearing potential, unless the conditions of the pregnancy prevention programme are met.
"
"Baricitinib (Olumiant▼): increased risk of diverticulitis, particularly in patients with risk factors ",https://www.gov.uk/drug-safety-update/baricitinib-olumiant-increased-risk-of-diverticulitis-particularly-in-patients-with-risk-factors,2020-08-26,"Use baricitinib with caution in patients with diverticular disease and in those concomitantly treated with medications associated with an increased risk of diverticulitis. 
"
Contact lenses recall: 1-day Acuvue Moist for Astigmatism - MHRA urges patients to check their boxes for recalled lots,https://www.gov.uk/government/news/contact-lenses-recall-1-day-acuvue-moist-for-astigmatism-mhra-urges-patients-to-check-their-boxes-for-recalled-lots,2019-09-26,"Users of certain Johnson & Johnson Acuvue daily disposable contact lenses are being urged by the MHRA to check their lenses, due to a voluntary product recall of specific lots initiated by the company."
Life-saving adrenaline auto-injectors could become available in public places,https://www.gov.uk/government/news/life-saving-adrenaline-auto-injectors-could-become-available-in-public-places,2021-11-11,"The chance for adults and children suffering from life-threatening allergic reactions to get life-saving shots of adrenaline in public places, such as restaurants and entertainment venues, has come a step closer as a result of a report published today by the government’s independent advisory body, the Commission on Human Medicines (CHM)."
Isotretinoin (Roaccutane): rare reports of erectile dysfunction and decreased libido ,https://www.gov.uk/drug-safety-update/isotretinoin-roaccutane-rare-reports-of-erectile-dysfunction-and-decreased-libido,2017-10-26,"Cases of sexual dysfunction, predominantly involving erectile dysfunction and decreased libido, have been reported rarely in patients taking oral isotretinoin for severe acne."
Finasteride: reminder of the risk psychiatric side effects and of sexual side effects (which may persist after discontinuation of treatment),https://www.gov.uk/drug-safety-update/finasteride-reminder-of-the-risk-psychiatric-side-effects-and-of-sexual-side-effects-which-may-persist-after-discontinuation-of-treatment,2024-04-29,"A patient alert card is being introduced for men taking finasteride to help raise awareness of the risk of psychiatric side effects and sexual dysfunction, including the potential for sexual dysfunction to persist after treatment has stopped. Healthcare professionals are reminded to monitor patients for both psychiatric and sexual side effects."
"Early access to medicines scheme applications: pending, refused, granted",https://www.gov.uk/government/statistics/early-access-to-medicines-scheme-applications-pending-refused-granted,2023-11-08,"The number of applications pending, refused and granted for the early access to medicines scheme (EAMS)."
Angiotensin II receptor antagonists: evidence does not suggest any link with cancer,https://www.gov.uk/drug-safety-update/angiotensin-ii-receptor-antagonists-evidence-does-not-suggest-any-link-with-cancer,2014-12-11,Evidence does not support any increased risk of cancer in patients who use these medicines.
Avoid risk of high blood glucose: insert pre-filled insulin cartridges correctly into insulin pump to manage your diabetes,https://www.gov.uk/government/news/avoid-risk-of-high-blood-glucose-insert-pre-filled-insulin-cartridges-correctly-into-insulin-pump-to-manage-your-diabetes,2016-08-16,People with diabetes using a particular type of insulin pump and pre-filled insulin cartridges should insert their cartridges correctly to avoid them leaking and potentially giving an under-delivery of insulin.
MHRA draft guidance on the licensing of biosimilar products,https://www.gov.uk/government/consultations/mhra-draft-guidance-on-the-licensing-of-biosimilar-products,2021-05-10,We want your comments on the clarity and wording of our new guidance
UK regulator confirms that people should continue to receive the COVID-19 vaccine AstraZeneca,https://www.gov.uk/government/news/uk-regulator-confirms-that-people-should-continue-to-receive-the-covid-19-vaccine-astrazeneca,2021-04-07,"Following suspensions by some countries of the COVID-19 Vaccine AstraZeneca over suspected blood clots, the MHRA confirms that the benefits of the vaccine in preventing COVID-19 far outweigh the risks. People should still go and get their COVID-19 vaccine when asked to do so."
"Class 4 Medicines Notification: Argenx BV, Vyvgart 1000 mg solution for injection, EL (24)A/63",https://www.gov.uk/drug-device-alerts/class-4-medicines-notification-argenx-bv-vyvgart-1000-mg-solution-for-injection-el-24-a-slash-63,2024-12-19,Argenx BV have informed MHRA that the Patient Information Leaflet (PIL) in the affected packs incorrectly contains reference to two subcutaneous injection sites. Only subcutaneous injection to the abdomen is permitted.
MHRA Performance Data,https://www.gov.uk/government/publications/mhra-performance-data,2026-02-20,Performance data for MHRA key performance indicators (KPIs) and information on the expected timeline to complete a specific regulatory function.
"MHRA approves Siiltibcy as a diagnostic aid for Mycobacterium tuberculosis infection, including disease",https://www.gov.uk/government/news/mhra-approves-siiltibcy-as-a-diagnostic-aid-for-mycobacterium-tuberculosis-infection-including-disease,2025-11-06,The Medicines and Healthcare products Regulatory Agency (MHRA) has approved Siiltibcy
"Class 4 Medicines Defect Information: CNX Therapeutics Ltd, Latuda film-coated tablets, EL (22)A/13",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-cnx-therapeutics-ltd-latuda-film-coated-tablets-el-22-a-slash-13,2022-03-14,CNX Therapeutics Ltd. have notified the MHRA that the batches of Latuda film-coated tablets listed in this notification will be released without EAN barcodes on the cartons.
Esmya (ulipristal acetate): suspension of the licence due to risk of serious liver injury,https://www.gov.uk/drug-safety-update/esmya-ulipristal-acetate-suspension-of-the-licence-due-to-risk-of-serious-liver-injury,2020-03-18,"Contact patients currently taking Esmya for uterine fibroids as soon as possible and advise them to stop their treatment. The licence for Esmya has been suspended to protect public health while a safety review is conducted following a further case of liver injury requiring transplant.
"
COVID-19 antivirals: reporting to the UK COVID-19 Antivirals Pregnancy Registry ,https://www.gov.uk/drug-safety-update/covid-19-antivirals-reporting-to-the-uk-covid-19-antivirals-pregnancy-registry,2022-02-15,"As the safety of COVID-19 antivirals in pregnancy has not been established, please report any pregnancies which occur during use of an antiviral, including paternal use, to the UK COVID-19 Antivirals Pregnancy Registry. This advice applies to molnupiravir (Lagevrio▼), the combination of PF-07321332 (nirmatrelvir) plus ritonavir (Paxlovid▼), and remdesivir (Veklury▼)."
BIA and MHRA publish report following joint conference Pathway of Innovation from Research to Patients,https://www.gov.uk/government/news/bia-and-mhra-publish-report-following-joint-conference-pathway-of-innovation-from-research-to-patients,2015-07-16,UK BioIndustry Association (BIA) and the Medicines and Healthcare products Regulatory Agency (MHRA) report following their fifth joint annual conference.
Reclassify Soleve Sunburn Relief cutaneous emulsion,https://www.gov.uk/government/consultations/reclassify-soleve-sunburn-relief-cutaneous-emulsion,2015-01-14,MHRA is asking for feedback on proposals to reclassify Soleve Sunburn Relief Cutaneous Emulsion from pharmacy to general sales list.
"Class 3 Medicines Recall: Bristol-Myers Squibb Pharmaceuticals Limited, OPDIVO 10 mg/mL concentrate for solution for infusion (nivolumab), EL(24)A/11",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-bristol-myers-squibb-pharmaceuticals-limited-opdivo-10-mg-slash-ml-concentrate-for-solution-for-infusion-nivolumab-el-24-a-slash-11,2024-04-04,"Bristol-Myers Squibb Pharmaceuticals Limited has informed the MHRA that a potential product quality issue has been detected, relating to incomplete crimping of the metal crimp cap of OPDIVO 10mg/mL concentrate for solution for infusion (nivolumab) (1VLX10ML)."
Metformin in pregnancy: study shows no safety concerns ,https://www.gov.uk/drug-safety-update/metformin-in-pregnancy-study-shows-no-safety-concerns,2022-03-15,"A large study has shown no safety issues of concern relating to the use of metformin during pregnancy. The licence for metformin now reflects that it can be considered for use during pregnancy and the periconceptional phase as an addition or an alternative to insulin, if clinically needed.  This is consistent with current clinical guidance."
"UK medicines regulator joins up with Australia, Canada, Singapore and Switzerland regulators",https://www.gov.uk/government/news/uk-medicines-regulator-joins-up-with-australia-canada-singapore-and-switzerland-regulators,2020-10-14,The Medicines and Healthcare products Regulatory Agency (MHRA) is the latest regulator to join the Australia-Canada-Singapore-Switzerland (ACSS) Consortium. 
Ulipristal acetate 5mg (Esmya): further restrictions due to risk of serious liver injury ,https://www.gov.uk/drug-safety-update/ulipristal-acetate-5mg-esmya-further-restrictions-due-to-risk-of-serious-liver-injury,2021-02-18,"The indication of ulipristal acetate 5mg for uterine fibroids has been further restricted due to the risk of serious liver injury and liver failure, with some cases requiring liver transplantation. Although the temporary suspension has been lifted, this medicine should only be used for intermittent treatment of moderate to severe symptoms of uterine fibroids before menopause and when surgical procedures (including uterine fibroid embolisation) are not suitable or have failed."
Nicorandil (Ikorel): now second-line treatment for angina - risk of ulcer complications,https://www.gov.uk/drug-safety-update/nicorandil-ikorel-now-second-line-treatment-for-angina-risk-of-ulcer-complications,2016-01-21,Updated advice on use of nicorandil as second-line treatment for stable angina - some ulcers may progress to complications unless treatment is stopped.
Joint MHRA and DIA training: Excellence in Pharmacovigilance,https://www.gov.uk/government/news/joint-mhra-and-dia-training-excellence-in-pharmacovigilance,2015-12-18,"1 to 5 February 2016: This 5-day course will cover European clinical pre and post-marketing safety regulatory requirements.
"
"Class 4 Medicines Defect Information: Rosemont Pharmaceuticals Ltd, Atorvastatin 4mg/ml Oral Suspension & Sildenafil 10mg/ml Oral Suspension , EL (22)A/39",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-rosemont-pharmaceuticals-ltd-atorvastatin-4mg-slash-ml-oral-suspension-and-sildenafil-10mg-slash-ml-oral-suspension-el-22-a-slash-39,2022-09-14,Rosemont Pharmaceuticals Ltd. has made the MHRA aware that the expiry dates stamped on the base of the bottle are incorrect for 2 batches of Atorvastatin 4mg/ml Oral Suspension and 2 batches of Sildenafil 10mg/ml Oral Suspension. 
SGLT2 inhibitors: monitor ketones in blood during treatment interruption for surgical procedures or acute serious medical illness ,https://www.gov.uk/drug-safety-update/sglt2-inhibitors-monitor-ketones-in-blood-during-treatment-interruption-for-surgical-procedures-or-acute-serious-medical-illness,2020-03-18,"SGLT2 inhibitor treatment should be interrupted in patients who are hospitalised for major surgical procedures or acute serious medical illnesses and ketone levels measured, preferably in blood rather than urine. Treatment may be restarted when the ketone values are normal and the patient's condition has stabilised.
"
Freedom of Information responses from the MHRA - week commencing 28 June 2021,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-28-june-2021,2021-08-13,Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 28 June 2021
Batches of Ventolin Accuhaler and Seretide Accuhaler asthma inhalers recalled,https://www.gov.uk/government/news/batches-of-ventolin-accuhaler-and-seretide-accuhaler-asthma-inhalers-recalled,2018-02-21,"Three specific lots of asthma inhalers are being recalled, including preventer and emergency relief inhalers."
Freedom of Information responses from the MHRA - week commencing 19 April,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-19-april,2021-05-28,Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 19 April 2021
"Class 4 Medicines Defect Information: Memantine 10mg Film-Coated Tablets, PL 20416/0260, (EL (20)A/11)",https://www.gov.uk/drug-device-alerts/class-medicines-defect-information-memantine-10mg-film-coated-tablets-pl-20416-0260-el-20-a-11,2020-02-25,Crescent Pharma Ltd has informed us of a discrepancy on the product packaging.
MHRA Strategy for Improving Safety Communications,https://www.gov.uk/government/publications/mhra-strategy-for-improving-safety-communications,2024-09-17,The MHRA’s strategy for Improving Safety Communications for 2024 to 2027.
Letters and drug alerts sent to healthcare professionals in September 2019,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-september-2019,2019-10-18,"Letters were issued about parenteral nutrition products, ranibizumab, ingenol mebutate gel, adrenaline auto-injectors, and fingolimod. Recall alerts were recently issued about ranitidine, aripiprazole, and bisacodyl."
Medicines and Healthcare products Regulatory Agency business plan published,https://www.gov.uk/government/news/medicines-and-healthcare-products-regulatory-agency-business-plan-published,2015-06-30,The 2015/16 business plan for the Medicines and Healthcare products Regulatory Agency has been published today (30 June 2015). 
Dame June Raine: How innovations are transforming regulation and speeding new treatments to healthcare,https://www.gov.uk/government/news/dame-june-raine-how-innovations-are-transforming-regulation-and-speeding-new-treatments-to-healthcare,2025-03-30,"As Dame June Raine gets ready to pass the baton on after nearly 40 years at the agency, the last five of which she has been CEO, she reflects on how new innovations are transforming regulation and how honoured she feels to have worked with such inspiring people through a period she has not just lived through but helped to shape. 
"
"Class 4 Medicines Defect Information: Strandhaven Ltd t/a Somex Pharma, Clarithromycin 250mg and 500mg film-coated tablets, EL (23)A/42",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-strandhaven-ltd-t-slash-a-somex-pharma-clarithromycin-250mg-and-500mg-film-coated-tablets-el-23-a-slash-42,2023-12-07,Strandhaven Limited t/a Somex Pharma has informed the MHRA regarding an error with the Patient Information Leaflets (PILs) that have been packed in the listed batches of Clarithromycin 250mg and 500mg film-coated tablets.
MHRA publishes final Business Plan for 2023-2026 Corporate Plan ,https://www.gov.uk/government/news/mhra-publishes-final-business-plan-for-2023-2026-corporate-plan,2025-06-25,"The new Business Plan sets out priorities for 2025–26: Protecting public safety and maintaining public trust; delivering efficient, predictable services through regulatory excellence; being an agile organisation that drives innovation; being a great place to work and providing excellent customer service. "
Codeine-containing pain relief in children,https://www.gov.uk/drug-safety-update/codeine-containing-pain-relief-in-children,2014-12-11,Safety review initiated following post-surgical fatalities in ultra-rapid metabolisers
MHRA to streamline clinical trial approvals in biggest overhaul of trial regulation in 20 years,https://www.gov.uk/government/news/mhra-to-streamline-clinical-trial-approvals-in-biggest-overhaul-of-trial-regulation-in-20-years,2023-03-21,The legislative changes will help to make the UK one of the best countries in the world to conduct clinical research for patients and researchers.  
New MHRA Inspectorate blog,https://www.gov.uk/government/news/new-mhra-inspectorate-blog,2015-06-23,MHRA has today published its first blog. 
Orlistat safety update,https://www.gov.uk/drug-safety-update/orlistat-safety-update,2014-12-11,"A recent Europe-wide review of the safety information for alli has led to a number of updates, which bring the product information in line with that for Xenical."
Freedom of Information responses from the MHRA - week commencing 24 May 2021,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-24-may-2021,2021-06-28,Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 24 May 2021
"Class 4 Medicines Defect Information, Sevredol 10 mg and 20mg  tablets, (PL 16950/0063, PL 16950/0064), EL (21)A/17",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-sevredol-10-mg-and-20mg-tablets-pl-16950-slash-0063-pl-16950-slash-0064-el-21-a-slash-17,2021-07-12,Napp Pharmaceuticals Limited have noticed and an error in the PIL of specific batches of  Sevredol 10 mg Tablets and Sevredol 20 mg Tablets.
New chief executive appointed at MHRA,https://www.gov.uk/government/news/new-chief-executive-appointed-at-mhra,2025-03-03, Lawrence Tallon is appointed as the new Chief Executive Officer of Medicines and Healthcare products Regulatory Agency (MHRA).
Pioglitazone: risk of bladder cancer,https://www.gov.uk/drug-safety-update/pioglitazone-risk-of-bladder-cancer,2014-12-11,Use of pioglitazone is associated with a small increased risk of bladder cancer. Healthcare professionals should be aware of new warnings and precautions for use in at-risk patients
Professor Claire Stewart  appointed to  the Commission on Human Medicines as three members reappointed,https://www.gov.uk/government/news/professor-claire-stewart-appointed-to-the-commission-on-human-medicines-as-three-members-reappointed,2025-04-17,"The appointment will involve a time commitment of 22 days per year. Remuneration for the role will be at a rate of £325 per attendance and preparation for meetings.

"
MHRA advises men taking valproate and their partners to use effective contraception  ,https://www.gov.uk/government/news/mhra-advises-men-taking-valproate-and-their-partners-to-use-effective-contraception,2024-09-05,Men taking valproate and their partners are being advised by the Medicines and Healthcare products Regulatory Agency (MHRA) to use effective contraception because of new data suggesting a potential small increased risk of harm to children if valproate is used by a father at conception. Valproate is licensed for epilepsy and bipolar disorder. 
Freedom of Information responses from the MHRA - week commencing 16 May 2022,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-16-may-2022,2023-03-27,The Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 16 May 2022
"Agile, responsive regulation helps early breast cancer patients to benefit from a study to potentially improve survival outcomes",https://www.gov.uk/government/case-studies/agile-responsive-regulation-helps-early-breast-cancer-patients-to-benefit-from-a-study-to-potentially-improve-survival-outcomes,2024-03-28,"Following MHRA approval of a clinical trial, early breast cancer patients on endocrine-based therapy can benefit from a study with camizestrant."
Irbesartan 300mg film-coated tablets - blisters is incorrectly labelled as Irbesartan 150mg,https://www.gov.uk/drug-device-alerts/drug-alert-irbesartan-300mg-film-coated-tablets-blisters-is-incorrectly-labelled-as-irbesartan-150mg,2014-12-17,(Accord Healthcare Limited) Recipients should quarantine any remaining stock and return it to supplier for credit - class 2 action within 48 hours. (EL (13)A/32)
Availability of diclofenac as a pharmacy medicine (MLX 382),https://www.gov.uk/government/consultations/availability-of-diclofenac-as-a-pharmacy-medicine-mlx-382,2013-08-04,The MHRA is undertaking a public consultation on the continued availability of diclofenac as a Pharmacy (P) medicine.
MHRA seizes more than 100 unreliable HIV home-testing kits,https://www.gov.uk/government/news/mhra-seizes-more-than-100-unreliable-hiv-home-testing-kits,2017-08-22,MHRA are investigating a number of Hightop HIV/AIDS Home Test Kits that may be unreliable and may provide false results. 
Monitoring the safety of antiretroviral drugs,https://www.gov.uk/drug-safety-update/monitoring-the-safety-of-antiretroviral-drugs,2014-12-11,Healthcare professionals should monitor the use and safety of antiretroviral drugs for the treatment of HIV as they are advanced. 
MHRA launches new fees calculator,https://www.gov.uk/government/news/mhra-launches-new-fees-calculator,2024-01-19,New aid launched to help determine the fee that will be charged upon the submission of an application to the MHRA.
Regulator issues warning over small number of TRUEyou home-use blood glucose test strips,https://www.gov.uk/government/news/regulator-issues-warning-over-small-number-of-trueyou-home-use-blood-glucose-test-strips,2016-06-30,TRUEyou blood glucose test strips - certain lots of test strips may give incorrect low blood glucose results that could lead to undetected hyperglycaemia.
GLP-1 receptor agonists: reports of diabetic ketoacidosis when concomitant insulin was rapidly reduced or discontinued ,https://www.gov.uk/drug-safety-update/glp-1-receptor-agonists-reports-of-diabetic-ketoacidosis-when-concomitant-insulin-was-rapidly-reduced-or-discontinued,2019-06-19,"Diabetic ketoacidosis has been reported in patients with type 2 diabetes on a combination of a GLP-1 receptor agonist and insulin who had doses of concomitant insulin rapidly reduced or discontinued. GLP-1 receptor agonists are not substitutes for insulin, and any reduction of insulin should be done in a stepwise manner with careful glucose self-monitoring. Abrupt discontinuation or reduction in insulin doses can lead to poor glycaemic control, with a risk of diabetic ketoacidosis."
Improving collaboration to protect public health – MHRA and Care Quality Commission sign MoU,https://www.gov.uk/government/news/improving-collaboration-to-protect-public-health-mhra-and-care-quality-commission-sign-mou,2017-09-29,The Medicines and Healthcare products Regulatory Agency (MHRA) and Care Quality Commission (CQC) set out key principles to support their collaboration on improving public health.
Regulator issues urgent warning over defective hearing aid batteries,https://www.gov.uk/government/news/regulator-issues-urgent-warning-over-defective-hearing-aid-batteries,2016-03-10,People who have bought ZeniPower mercury-free hearing aid batteries to check the best before date on the packs due to two defective batches.
Warfarin and other anticoagulants – monitoring of patients during the COVID-19 pandemic,https://www.gov.uk/government/publications/warfarin-and-other-anticoagulants-monitoring-of-patients-during-the-covid-19-pandemic,2020-10-12,The MHRA has published advice for patients and healthcare professionals 
Topical testosterone (Testogel): risk of harm to children following accidental exposure,https://www.gov.uk/drug-safety-update/topical-testosterone-testogel-risk-of-harm-to-children-following-accidental-exposure,2023-01-25,"Premature puberty and genital enlargement have been reported in children who were in close physical contact with an adult using topical testosterone and who were repeatedly accidentally exposed to this medicine. To reduce these risks, advise patients to wash their hands after application of topical testosterone, cover the application site with clothing once the product has dried, and wash the application site before physical contact with another adult or child. "
Herbal medicines granted a traditional herbal registration (THR),https://www.gov.uk/government/publications/herbal-medicines-granted-a-traditional-herbal-registration-thr,2025-10-28,A list of herbal medicines currently holding a traditional herbal registration (THR) granted by the Medicines and Healthcare products Regulatory Agency (MHRA).
Onsenal▼ (Celecoxib) withdrawn from EU market,https://www.gov.uk/drug-safety-update/onsenal-celecoxib-withdrawn-from-eu-market,2014-12-11,Onsenal▼ (celecoxib) is no longer approved in Europe for the reduction of intestinal polyps in familial adenomatous polyposis (FAP). 
"Ivacaftor, tezacaftor, elexacaftor (Kaftrio▼) in combination with ivacaftor (Kalydeco): risk of serious liver injury; updated advice on liver function testing",https://www.gov.uk/drug-safety-update/ivacaftor-tezacaftor-elexacaftor-kaftriov-in-combination-with-ivacaftor-kalydeco-risk-of-serious-liver-injury-updated-advice-on-liver-function-testing,2022-02-15,"Cases of serious liver injury with elevated transaminases and bilirubin have been reported during treatment with Kaftrio–Kalydeco combination therapy. In all patients, measure alanine aminotransferase (ALT), aspartate aminotransferase (AST), and total bilirubin levels before starting treatment, every 3 months during the first year of treatment, and annually thereafter."
Carfilzomib (Kyprolis▼): risk of reactivation of hepatitis B virus,https://www.gov.uk/drug-safety-update/carfilzomib-kyprolis-risk-of-reactivation-of-hepatitis-b-virus,2019-11-21,"Establish hepatitis B status before initiating carfilzomib and in patients with unknown hepatitis B virus serology who are already being treated with carfilzomib.
"
Fluoroquinolone antibiotics: new restrictions and precautions for use due to very rare reports of disabling and potentially long-lasting or irreversible side effects ,https://www.gov.uk/drug-safety-update/fluoroquinolone-antibiotics-new-restrictions-and-precautions-for-use-due-to-very-rare-reports-of-disabling-and-potentially-long-lasting-or-irreversible-side-effects,2019-03-21,"Disabling, long-lasting or potentially irreversible adverse reactions affecting musculoskeletal and nervous systems have been reported very rarely with fluoroquinolone antibiotics. Fluoroquinolone treatment should be discontinued at the first signs of a serious adverse reaction, including tendon pain or inflammation."
Telbivudine and pegylated interferon: risk of peripheral neuropathy,https://www.gov.uk/drug-safety-update/telbivudine-and-pegylated-interferon-risk-of-peripheral-neuropathy,2014-12-11,Patients who take telbivudine and pegylated interferon are at increased risk of peripheral neuropathy and should stop taking both medicines if symptoms occur. 
Professor Sir Michael Rawlins re-appointed Chair,https://www.gov.uk/government/news/professor-sir-michael-rawlins-re-appointed-chair,2017-08-08,Professor Sir Michael will return as Chair for a second term.
Moderna COVID-19 vaccine approved by MHRA in 12-17 year olds,https://www.gov.uk/government/news/moderna-covid-19-vaccine-approved-by-mhra-in-12-17-year-olds,2021-08-17,The UK regulator has confirmed the vaccine is safe and effective in this age group.
Freedom of Information responses from the MHRA - week commencing 21 June 2021,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-21-june-2021,2021-08-12,Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 21 June 2021
"Class 4 Medicines Defect Information: Aspen Pharma Trading Limited, Co-trimoxazole 80mg/400mg per 5ml adult suspension, EL (24)A/32",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-aspen-pharma-trading-limited-co-trimoxazole-80mg-slash-400mg-per-5ml-adult-suspension-el-24-a-slash-32,2024-07-25,Aspen Pharma Trading Limited has informed the MHRA that an error has been found in the Patient Information Leaflet.
New streamlined notification scheme for lowest-risk clinical trials marks start of MHRA overhaul of regulation,https://www.gov.uk/government/news/new-streamlined-notification-scheme-for-lowest-risk-clinical-trials-marks-start-of-mhra-overhaul-of-regulation,2023-10-11,The scheme will see the lowest-risk clinical trials processed by the MHRA in less than 14 days. 
Febuxostat (Adenuric): increased risk of cardiovascular death and all-cause mortality in clinical trial in patients with a history of major cardiovascular disease,https://www.gov.uk/drug-safety-update/febuxostat-adenuric-increased-risk-of-cardiovascular-death-and-all-cause-mortality-in-clinical-trial-in-patients-with-a-history-of-major-cardiovascular-disease,2019-07-17,"Avoid treatment with febuxostat in patients with pre-existing major cardiovascular disease (for example, myocardial infarction, stroke, or unstable angina), unless no other therapy options are appropriate. Findings from a phase 4 clinical study (the CARES study) in patients with gout and a history of major cardiovascular disease show a higher risk for cardiovascular-related death and for all-cause mortality in patients assigned to febuxostat than in those assigned to allopurinol."
